$ ION e  He [+0] (G)  e  He [+1] (G) e
& RC GOTO CODE 2.3.9A #INTERP2D
 65 1.0e+00 1.0e+04  2
 30 1.0e+08 1.0e+16  2
 2.2683365884395e-08    2.2022049145438e-08     2.1330849991663e-08
 2.0617836566689e-08    1.9890220281067e-08     1.9154378083213e-08
 1.8415889834382e-08    1.7679586155425e-08     1.6949602924665e-08
 1.6229439355062e-08    1.5522017245120e-08     1.4829739575916e-08
 1.4154547115242e-08    1.3497972093918e-08     1.2861188345981e-08
 1.2245057563199e-08    1.1650171513668e-08
 2.8844126649444e-19    7.4867428702388e-18     1.2746775884580e-16
 1.4986875357820e-15    1.2740281592347e-14     8.1494245151505e-14
 4.0641623946295e-13    1.6314573879246e-12     5.4256998518373e-12
 1.5341276532783e-11    3.7740591117076e-11     8.2434341192586e-11
 1.6271326149637e-10    2.9468233475177e-10     4.9606955036588e-10
 7.8482595821919e-10    1.1778058827980e-09     1.6896745185287e-09
 2.3320406067794e-09    3.1127338406830e-09     4.0351581270022e-09
 5.0977197675224e-09    6.2934023365416e-09     7.6095977839669e-09
 9.0282920236708e-09    1.0526652466575e-08     1.2077996808013e-08
 1.3653057328324e-08    1.5221418802100e-08     1.6752980222514e-08
 1.8219315911951e-08    1.9594826815915e-08     2.0857616105340e-08
 2.1990059745926e-08    2.2979076564220e-08     2.3816128251828e-08
 2.4496995832368e-08    2.5021387568420e-08     2.5392433615237e-08
 2.5616118558235e-08    2.5700695301322e-08     2.5656114657397e-08
 2.5493495659801e-08    2.5224652978640e-08     2.4861690419111e-08
 2.4416663537750e-08    2.3901309953483e-08     2.3326842831780e-08
 2.2703801081424e-08    2.2041948797213e-08     2.1350216182124e-08
 2.0636674381055e-08    1.9908537199717e-08     1.9172183406251e-08
 1.8433194142608e-08    1.7696400814204e-08     1.6965939637531e-08
 1.6245309773712e-08    1.5537432641638e-08     1.4844710581639e-08
 1.4169083528680e-08    1.3512082757775e-08     1.2874881090671e-08
 1.2258339211689e-08    1.1663047940057e-08
 3.1207422942152e-19    8.0135997654131e-18     1.3514921664898e-16
 1.5756245551621e-15    1.3293529472229e-14     8.4462546112825e-14
 4.1872415882400e-13    1.6722175532162e-12     5.5368955257779e-12
 1.5598449981146e-11    3.8258226569184e-11     8.3362443153395e-11
 1.6422589642038e-10    2.9696235197034e-10     4.9929434056194e-10
 7.8915739111619e-10    1.1833851235994e-09     1.6966205833242e-09
 2.3404507785058e-09    3.1226842645746e-09     4.0467036064496e-09
 5.1108925650957e-09    6.3082103752949e-09     7.6260229297760e-09
 9.0462891288486e-09    1.0546149657958e-08     1.2098897219307e-08
 1.3675242199513e-08    1.5244751660627e-08     1.6777311739603e-08
 1.8244489005155e-08    1.9620681602565e-08     2.0883994397794e-08
 2.2016808878087e-08    2.3006052437427e-08     2.3843197572543e-08
 2.4524037580807e-08    2.5048293779903e-08     2.5419109584332e-08
 2.5642482584648e-08    2.5726678095174e-08     2.5681658511202e-08
 2.5518553478956e-08    2.5249187244320e-08     2.4885672139248e-08
 2.4440071224979e-08    2.3924128654514e-08     2.3349063221255e-08
 2.2725418625007e-08    2.2062962983311e-08     2.1370629818840e-08
 2.0656492954179e-08    1.9927768288216e-08     1.9190836153223e-08
 1.8451278781483e-08    1.7713928251583e-08     1.6982921095147e-08
 1.6261756492309e-08    1.5553355648942e-08     1.4860120525137e-08
 1.4183990571791e-08    1.3526496535391e-08     1.2888810717445e-08
 1.2271793334072e-08    1.1676034821364e-08
 3.4280961390049e-19    8.6931832785772e-18     1.4497139659109e-16
 1.6731057982129e-15    1.3987865751000e-14     8.8151563863431e-14
 4.3386971060878e-13    1.7218802508290e-12     5.6710507295371e-12
 1.5905722310327e-11    3.8870822099056e-11     8.4450665181051e-11
 1.6598394914630e-10    2.9959108101605e-10     5.0298683276186e-10
 7.9409072001238e-10    1.1897181779020e-09     1.7044955936641e-09
 2.3499954746760e-09    3.1340122506001e-09     4.0599118611711e-09
 5.1260563123298e-09    6.3253765049388e-09     7.6452035372458e-09
 9.0674566297833e-09    1.0569234494726e-08     1.2123788599956e-08
 1.3701791760363e-08    1.5272779528149e-08     1.6806614218325e-08
 1.8274847054719e-08    1.9651869317635e-08     2.0915786857591e-08
 2.2048988917359e-08    2.3038416080977e-08     2.3875558042416e-08
 2.4556227918632e-08    2.5080168216567e-08     2.5450543847088e-08
 2.5673373354230e-08    2.5756941826607e-08     2.5711229816162e-08
 2.5547383241982e-08    2.5277240615037e-08     2.4912926511851e-08
 2.4466514287221e-08    2.3949756562887e-08     2.3373878937746e-08
 2.2749430433918e-08    2.2086183193983e-08     2.1393073651200e-08
 2.0678177598307e-08    1.9948712125811e-08     1.9211058127532e-08
 1.8470797901970e-08    1.7732763220056e-08     1.7001090040668e-08
 1.6279276802595e-08    1.5570243886070e-08     1.4876392413068e-08
 1.4199661042716e-08    1.3541579821341e-08     1.2903320473343e-08
 1.2285742778578e-08    1.1689436882735e-08
 3.8378454736214e-19    9.5914253014970e-18     1.5784214849433e-16
 1.7997396825673e-15    1.4882124927831e-14     9.2863292955403e-14
 4.5306257451720e-13    1.7843639560909e-12     5.8387680093792e-12
 1.6287752005937e-11    3.9628895540529e-11     8.5792081546746e-11
 1.6814432461368e-10    3.0281407970143e-10     5.0750815680684e-10
