$ ION e  He [+0] (G)  e  He [+1] (G) e                                     
& RC FUJIMOTO CODE 2.3.9A #INTERP2D                                        
 65 1.0E+00 1.0E+04  2
 30 1.0E+08 1.0E+16  2
 2.0188874572113E-08    2.1477360334643E-08     2.2616461592406E-08
 2.3594417086770E-08    2.4404943843592E-08     2.5046800189443E-08
 2.5523066327082E-08    2.5840297013247E-08     2.6007791475990E-08
 2.6036788725037E-08    2.5939703718336E-08     2.5729603336799E-08
 2.5419742755162E-08    2.5023071614783E-08     2.4552077704243E-08
 2.4018479649612E-08    2.3433214479951E-08     2.2806229793559E-08
 2.2146537048684E-08    2.1462247090653E-08     2.0760491992178E-08
 2.0047622228958E-08    1.9329121414557E-08     1.8609767948874E-08
 1.7893636794497E-08    1.7184207834475E-08     1.6484417386664E-08
 1.5796713270788E-08    1.5123116980931E-08     1.4465252107243E-08
 1.3824415390218E-08    1.3201623794146E-08     1.2597631382505E-08
 1.2012993266808E-08    1.1448046954854E-08
 1.9898274244542E-18    4.1644222650525E-17     5.7231014572966E-16
 5.4743116811829E-15    3.8385364765220E-14     2.0649706445643E-13
 8.8639002821661E-13    3.1387936954425E-12     9.4297425770606E-12
 2.4606941484429E-11    5.6893583594286E-11     1.1853426573616E-10
 2.2577167912985E-10    3.9803940699024E-10     6.5651956093760E-10
 1.0223761837125E-09    1.5149890231214E-09     2.1503872016382E-09
 2.9399707113242E-09    3.8894927278932E-09     4.9983008842958E-09
 6.2588578764178E-09    7.6566015749790E-09     9.1702485605083E-09
 1.0772594372099E-08    1.2431815576974E-08     1.4113066271193E-08
 1.5780441842139E-08    1.7398935625579E-08     1.8936072265774E-08
 2.0363509989352E-08    2.1657983850787E-08     2.2801868837519E-08
 2.3783369940134E-08    2.4596255698839E-08     2.5239328849125E-08
 2.5715712226315E-08    2.6032058286773E-08     2.6197771063607E-08
 2.6224167726241E-08    2.6123776919462E-08     2.5909793421874E-08
 2.5595543462487E-08    2.5194093922210E-08     2.4718024960180E-08
 2.4179129809454E-08    2.3588384578943E-08     2.2955838119287E-08
 2.2290553403082E-08    2.1600639499297E-08     2.0893322627558E-08
 2.0174942605422E-08    1.9451009691807E-08     1.8726325379248E-08
 1.8004987722975E-08    1.7290487264177E-08     1.6585747886211E-08
 1.5893249383225E-08    1.5214984827594E-08     1.4552600902107E-08
 1.3907396123614E-08    1.3280378574620E-08     1.2672312976747E-08
 1.2083731348866E-08    1.1514982745098E-08
 2.7690886369415E-18    5.5329829932264E-17     7.2658565624813E-16
 6.6623935508032E-15    4.5007993507281E-14     2.3464490441806E-13
 9.8185066847722E-13    3.4073449357158E-12     1.0077114490081E-11
 2.5980797374592E-11    5.9517890615979E-11     1.2312957597960E-10
 2.3325741338454E-10    4.0952050084364E-10     6.7325595098922E-10
 1.0457421595333E-09    1.5464178826363E-09     2.1913113545935E-09
 2.9917595067985E-09    3.9533842866035E-09     5.0753570235429E-09
 6.3499130398270E-09    7.7622193117577E-09     9.2907201931780E-09
 1.0907921677017E-08    1.2581706343440E-08     1.4276973381300E-08
 1.5957567711666E-08    1.7588252632095E-08     1.9136370710271E-08
 2.0573407866209E-08    2.1876040534607E-08     2.3026547779637E-08
 2.4013116828314E-08    2.4829523326275E-08     2.5474610865217E-08
